,2021,2020,2019,2018
intangibleAssets,1332000000.0,1048000000.0,778000000.0,825000000.0
capitalSurplus,17208000000.0,16644000000.0,15588000000.0,14939000000.0
totalLiab,54076000000.0,50316000000.0,34404000000.0,27946000000.0
totalStockholderEquity,21727000000.0,20019000000.0,16885000000.0,15386000000.0
otherCurrentLiab,39537000000.0,36067000000.0,24845000000.0,21819000000.0
totalAssets,75803000000.0,70379000000.0,51333000000.0,43332000000.0
otherCurrentAssets,36429000000.0,33800000000.0,22661000000.0,20371000000.0
retainedEarnings,16535000000.0,12366000000.0,8342000000.0,5880000000.0
otherLiab,2378000000.0,2288000000.0,2117000000.0,2042000000.0
goodWill,11454000000.0,9135000000.0,6212000000.0,6284000000.0
treasuryStock,-12016000000.0,-8991000000.0,-7045000000.0,-5433000000.0
otherAssets,1078000000.0,605000000.0,813000000.0,567000000.0
cash,5197000000.0,4794000000.0,7349000000.0,7575000000.0
totalCurrentLiabilities,43029000000.0,38447000000.0,26919000000.0,25904000000.0
deferredLongTermAssetCharges,547000000.0,142000000.0,396000000.0,224000000.0
shortLongTermDebt,999000000.0,,,
otherStockholderEquity,-136000000.0,-484000000.0,-173000000.0,78000000.0
propertyPlantEquipment,2568000000.0,2514000000.0,2172000000.0,1724000000.0
totalCurrentAssets,52574000000.0,50995000000.0,38495000000.0,32963000000.0
longTermInvestments,6797000000.0,6082000000.0,2863000000.0,969000000.0
netTangibleAssets,8941000000.0,9836000000.0,9895000000.0,8277000000.0
shortTermInvestments,4303000000.0,8289000000.0,3412000000.0,1534000000.0
netReceivables,5682000000.0,3388000000.0,4461000000.0,2845000000.0
longTermDebt,8049000000.0,8939000000.0,4965000000.0,
accountsPayable,197000000.0,252000000.0,232000000.0,281000000.0
minorityInterest,,44000000.0,44000000.0,
researchDevelopment,3038000000.0,2642000000.0,2085000000.0,1831000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,4099000000.0,5065000000.0,2998000000.0,2376000000.0
netIncome,4169000000.0,4202000000.0,2459000000.0,2057000000.0
sellingGeneralAdministrative,4559000000.0,3931000000.0,3112000000.0,2855000000.0
grossProfit,11921000000.0,10001000000.0,7987000000.0,7189000000.0
ebit,4315000000.0,3428000000.0,2797000000.0,2219000000.0
operatingIncome,4315000000.0,3428000000.0,2797000000.0,2219000000.0
otherOperatingExpenses,9000000.0,9000000.0,-7000000.0,284000000.0
interestExpense,-232000000.0,-209000000.0,-115000000.0,-77000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-70000000.0,863000000.0,539000000.0,319000000.0
totalRevenue,25371000000.0,21454000000.0,17772000000.0,15451000000.0
totalOperatingExpenses,21056000000.0,18026000000.0,14975000000.0,13232000000.0
costOfRevenue,13450000000.0,11453000000.0,9785000000.0,8262000000.0
totalOtherIncomeExpenseNet,-216000000.0,1637000000.0,201000000.0,157000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,4169000000.0,4202000000.0,2459000000.0,2057000000.0
netIncomeApplicableToCommonShares,4169000000.0,4202000000.0,2459000000.0,2057000000.0
investments,-418000000.0,-10605000000.0,-3003000000.0,-483000000.0
changeToLiabilities,-31000000.0,-4000000.0,4000000.0,26000000.0
totalCashflowsFromInvestingActivities,-5485000000.0,-16218000000.0,-5742000000.0,821000000.0
netBorrowings,-89000000.0,3966000000.0,2955000000.0,960000000.0
totalCashFromFinancingActivities,-764000000.0,12492000000.0,4187000000.0,-1240000000.0
changeToOperatingActivities,-922000000.0,-618000000.0,-919000000.0,696000000.0
issuanceOfStock,162000000.0,137000000.0,138000000.0,144000000.0
changeInCash,-11000000.0,2297000000.0,2510000000.0,4948000000.0
repurchaseOfStock,-4409000000.0,-2156000000.0,-1915000000.0,-3939000000.0
effectOfExchangeRate,-102000000.0,169000000.0,-6000000.0,-113000000.0
totalCashFromOperatingActivities,6340000000.0,5854000000.0,4071000000.0,5480000000.0
depreciation,899000000.0,867000000.0,614000000.0,514000000.0
otherCashflowsFromInvestingActivities,193000000.0,-1552000000.0,-351000000.0,1127000000.0
changeToAccountReceivables,-222000000.0,-100000000.0,-120000000.0,-59000000.0
otherCashflowsFromFinancingActivities,3572000000.0,10545000000.0,3009000000.0,1595000000.0
changeToNetincome,2008000000.0,1415000000.0,1775000000.0,2028000000.0
capitalExpenditures,-908000000.0,-866000000.0,-704000000.0,-823000000.0
annualDilutedAverageShares,1186000000.0,1187000000.0,1188000000.0,1203000000.0
