,2021,2020,2019,2018
intangibleAssets,723000000.0,418000000.0,450000000.0,533000000.0
capitalSurplus,12189000000.0,12731000000.0,12685000000.0,13766000000.0
totalLiab,144612000000.0,129278000000.0,109945000000.0,110598000000.0
totalStockholderEquity,16667000000.0,16455000000.0,14985000000.0,14270000000.0
totalAssets,162938000000.0,147389000000.0,126240000000.0,125688000000.0
commonStock,10000000.0,10000000.0,10000000.0,11000000.0
otherCurrentAssets,29383000000.0,18649000000.0,3515000000.0,2199000000.0
retainedEarnings,5550000000.0,3770000000.0,3751000000.0,2828000000.0
otherLiab,1592000000.0,1087000000.0,1210000000.0,1743000000.0
goodWill,5744000000.0,5190000000.0,4845000000.0,4829000000.0
treasuryStock,-1082000000.0,-56000000.0,-1461000000.0,-2335000000.0
otherAssets,91220000000.0,85898000000.0,86108000000.0,87178000000.0
cash,1350000000.0,1558000000.0,1598000000.0,2018000000.0
totalCurrentLiabilities,140181000000.0,124693000000.0,100342000000.0,96431000000.0
otherStockholderEquity,289000000.0,1315000000.0,-90000000.0,-964000000.0
propertyPlantEquipment,2356000000.0,2572000000.0,2700000000.0,2414000000.0
totalCurrentAssets,31854000000.0,23581000000.0,6528000000.0,4647000000.0
longTermInvestments,31041000000.0,29730000000.0,25609000000.0,26087000000.0
netTangibleAssets,10618000000.0,11143000000.0,10035000000.0,9326000000.0
longTermDebt,2407000000.0,2953000000.0,7879000000.0,12424000000.0
inventory,10000000.0,25000000.0,58000000.0,60000000.0
accountsPayable,139072000000.0,122479000000.0,97475000000.0,94491000000.0
shortLongTermDebt,,616000000.0,,
shortTermInvestments,,,,1520000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3215000000.0,1314000000.0,1985000000.0,1955000000.0
minorityInterest,,,,
netIncome,2521000000.0,1094000000.0,1582000000.0,1759000000.0
sellingGeneralAdministrative,2973000000.0,2824000000.0,2654000000.0,2638000000.0
grossProfit,6960000000.0,4955000000.0,5473000000.0,5517000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,3259000000.0,1403000000.0,2030000000.0,2019000000.0
otherOperatingExpenses,728000000.0,728000000.0,789000000.0,860000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,694000000.0,220000000.0,403000000.0,387000000.0
totalRevenue,6960000000.0,4955000000.0,5473000000.0,5517000000.0
totalOperatingExpenses,3701000000.0,3552000000.0,3443000000.0,3498000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-44000000.0,-89000000.0,-45000000.0,-64000000.0
discontinuedOperations,,,,191000000.0
netIncomeFromContinuingOps,2521000000.0,1094000000.0,1582000000.0,1568000000.0
netIncomeApplicableToCommonShares,2400000000.0,991000000.0,1503000000.0,1695000000.0
investments,-2207000000.0,-3522000000.0,950000000.0,401000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-2865000000.0,-4853000000.0,509000000.0,-3045000000.0
netBorrowings,-1234000000.0,-8270000000.0,-4202000000.0,5399000000.0
totalCashFromFinancingActivities,11290000000.0,16371000000.0,-2514000000.0,327000000.0
changeToOperatingActivities,-63000000.0,772000000.0,611000000.0,-354000000.0
changeInCash,11455000000.0,13842000000.0,576000000.0,-443000000.0
repurchaseOfStock,-489000000.0,-8000000.0,-1130000000.0,-2157000000.0
totalCashFromOperatingActivities,3030000000.0,2324000000.0,2581000000.0,2275000000.0
depreciation,371000000.0,421000000.0,426000000.0,462000000.0
otherCashflowsFromInvestingActivities,-93000000.0,-135000000.0,-186000000.0,-155000000.0
dividendsPaid,-716000000.0,-698000000.0,-656000000.0,-516000000.0
otherCashflowsFromFinancingActivities,13826000000.0,24997000000.0,2974000000.0,-2399000000.0
changeToNetincome,432000000.0,283000000.0,309000000.0,237000000.0
annualDilutedAverageShares,963000000.0,962000000.0,999000000.0,1102000000.0
