,2021,2020,2019,2018
intangibleAssets,97339000000.0,88126000000.0,36580000000.0,35757000000.0
capitalSurplus,73292000000.0,72772000000.0,38498000000.0,38010000000.0
totalLiab,137461000000.0,134818000000.0,58132000000.0,47750000000.0
totalStockholderEquity,69102000000.0,65344000000.0,28789000000.0,24718000000.0
deferredLongTermLiab,1500000000.0,1100000000.0,906000000.0,
otherCurrentLiab,2294000000.0,2404000000.0,1470000000.0,1438000000.0
totalAssets,206563000000.0,200162000000.0,86921000000.0,72468000000.0
otherCurrentAssets,1786000000.0,2292000000.0,1922000000.0,1625000000.0
retainedEarnings,-2812000000.0,-5836000000.0,-8833000000.0,-12954000000.0
otherLiab,15313000000.0,15378000000.0,6561000000.0,8220000000.0
goodWill,12188000000.0,11117000000.0,1930000000.0,1901000000.0
treasuryStock,-1378000000.0,-1592000000.0,-876000000.0,-338000000.0
otherAssets,6061000000.0,4810000000.0,3474000000.0,3170000000.0
cash,6631000000.0,10385000000.0,1528000000.0,1203000000.0
totalCurrentLiabilities,23499000000.0,21703000000.0,12506000000.0,10267000000.0
shortLongTermDebt,5623000000.0,4579000000.0,1225000000.0,447000000.0
otherStockholderEquity,-1365000000.0,-1581000000.0,-868000000.0,-332000000.0
propertyPlantEquipment,70084000000.0,72224000000.0,35632000000.0,23359000000.0
totalCurrentAssets,20891000000.0,23885000000.0,9305000000.0,8281000000.0
netTangibleAssets,-40425000000.0,-33899000000.0,-9721000000.0,-12940000000.0
netReceivables,9161000000.0,8057000000.0,4558000000.0,4369000000.0
longTermDebt,68570000000.0,66546000000.0,24944000000.0,25532000000.0
inventory,2567000000.0,2527000000.0,964000000.0,1084000000.0
accountsPayable,6499000000.0,5564000000.0,4322000000.0,5487000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3351000000.0,3530000000.0,4603000000.0,3917000000.0
minorityInterest,,,,
netIncome,3024000000.0,3064000000.0,3468000000.0,2888000000.0
sellingGeneralAdministrative,19169000000.0,17212000000.0,13519000000.0,12965000000.0
grossProfit,45546000000.0,40783000000.0,26477000000.0,24956000000.0
ebit,9994000000.0,9420000000.0,6342000000.0,5505000000.0
operatingIncome,9994000000.0,9420000000.0,6342000000.0,5505000000.0
otherOperatingExpenses,,,,
interestExpense,-3362000000.0,-2730000000.0,-1135000000.0,-1357000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,327000000.0,786000000.0,1135000000.0,1029000000.0
totalRevenue,80118000000.0,68397000000.0,44998000000.0,43310000000.0
totalOperatingExpenses,70124000000.0,58977000000.0,38656000000.0,37805000000.0
costOfRevenue,34572000000.0,27614000000.0,18521000000.0,18354000000.0
totalOtherIncomeExpenseNet,-6643000000.0,-5890000000.0,-1739000000.0,-1588000000.0
discontinuedOperations,,320000000.0,320000000.0,320000000.0
netIncomeFromContinuingOps,3024000000.0,2744000000.0,3468000000.0,2888000000.0
netIncomeApplicableToCommonShares,3024000000.0,3064000000.0,3468000000.0,2888000000.0
changeToLiabilities,549000000.0,-2123000000.0,17000000.0,-867000000.0
totalCashflowsFromInvestingActivities,-19386000000.0,-12715000000.0,-4125000000.0,-579000000.0
netBorrowings,2332000000.0,13233000000.0,-2173000000.0,-1855000000.0
totalCashFromFinancingActivities,1709000000.0,13010000000.0,-2374000000.0,-3336000000.0
changeToOperatingActivities,-1498000000.0,-2814000000.0,-235000000.0,-250000000.0
changeInCash,-3760000000.0,8935000000.0,325000000.0,-16000000.0
repurchaseOfStock,-316000000.0,-19975000000.0,-156000000.0,-1217000000.0
totalCashFromOperatingActivities,13917000000.0,8640000000.0,6824000000.0,3899000000.0
depreciation,16383000000.0,14151000000.0,6616000000.0,6486000000.0
otherCashflowsFromInvestingActivities,51000000.0,294000000.0,-650000000.0,21000000.0
changeToInventory,201000000.0,-2222000000.0,-617000000.0,-201000000.0
changeToAccountReceivables,-6366000000.0,-4726000000.0,-4724000000.0,-6215000000.0
otherCashflowsFromFinancingActivities,-307000000.0,-88000000.0,-45000000.0,-264000000.0
changeToNetincome,1624000000.0,3310000000.0,2299000000.0,2058000000.0
capitalExpenditures,-12326000000.0,-11034000000.0,-6391000000.0,-5541000000.0
issuanceOfStock,,19840000000.0,19840000000.0,19840000000.0
annualDilutedAverageShares,1254769926.0,1154749428.0,863433511.0,858290174.0
