,2021,2020,2019,2018
intangibleAssets,403000000.0,369000000.0,330000000.0,342000000.0
totalLiab,49253000000.0,44598000000.0,45623000000.0,42125000000.0
totalStockholderEquity,-933000000.0,572000000.0,-2808000000.0,-4950000000.0
minorityInterest,2422000000.0,2320000000.0,2243000000.0,2032000000.0
otherCurrentLiab,587000000.0,560000000.0,457000000.0,466000000.0
totalAssets,50742000000.0,47490000000.0,45058000000.0,39207000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,1896000000.0,1340000000.0,1190000000.0,1133000000.0
retainedEarnings,-532000000.0,777000000.0,-2351000000.0,-4572000000.0
otherLiab,3574000000.0,3380000000.0,2783000000.0,2460000000.0
goodWill,9137000000.0,8209000000.0,7939000000.0,7611000000.0
treasuryStock,-404000000.0,-502000000.0,-460000000.0,-381000000.0
otherAssets,598000000.0,546000000.0,480000000.0,690000000.0
cash,1451000000.0,1793000000.0,621000000.0,502000000.0
totalCurrentLiabilities,9582000000.0,8704000000.0,7757000000.0,7569000000.0
shortLongTermDebt,102000000.0,81000000.0,58000000.0,788000000.0
otherStockholderEquity,-404000000.0,-502000000.0,-460000000.0,-381000000.0
propertyPlantEquipment,26176000000.0,25223000000.0,24549000000.0,19757000000.0
totalCurrentAssets,13542000000.0,12333000000.0,11196000000.0,10213000000.0
longTermInvestments,886000000.0,810000000.0,564000000.0,594000000.0
netTangibleAssets,-10473000000.0,-8006000000.0,-11077000000.0,-12903000000.0
shortTermInvestments,103000000.0,116000000.0,147000000.0,47000000.0
netReceivables,8106000000.0,7059000000.0,7389000000.0,6799000000.0
longTermDebt,33765000000.0,30347000000.0,33114000000.0,32096000000.0
inventory,1986000000.0,2025000000.0,1849000000.0,1732000000.0
accountsPayable,4111000000.0,3535000000.0,2905000000.0,2577000000.0
capitalSurplus,,294000000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9833000000,5430000000,5244000000,5335000000
netIncome,6956000000,3754000000,3505000000,3787000000
sellingGeneralAdministrative,989000000,923000000,855000000,855000000
grossProfit,22492000000,19290000000,19295000000,17528000000
ebit,9678000000,7262000000,7218000000,6642000000
operatingIncome,9678000000,7262000000,7218000000,6642000000
otherOperatingExpenses,8972000000,8384000000,8626000000,8608000000
interestExpense,-1566000000,-1584000000,-1824000000,-1755000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2112000000,1043000000,1099000000,946000000
totalRevenue,58752000000,51533000000,51336000000,46677000000
totalOperatingExpenses,49074000000,44271000000,44118000000,40035000000
costOfRevenue,36260000000,32243000000,32041000000,29149000000
totalOtherIncomeExpenseNet,155000000,-1832000000,-1974000000,-1307000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7721000000,4387000000,4145000000,4389000000
netIncomeApplicableToCommonShares,6956000000,3754000000,3505000000,3787000000
investments,-117000000,-20000000,25000000,57000000
changeToLiabilities,999000000,1255000000,396000000,698000000
totalCashflowsFromInvestingActivities,-2643000000,-3393000000,-5720000000,-3901000000
netBorrowings,3255000000,-3217000000,567000000,-344000000
totalCashFromFinancingActivities,-6655000000,-4677000000,-1771000000,-3075000000
changeInCash,-342000000,1172000000,119000000,-230000000
repurchaseOfStock,-8215000000,-441000000,-1031000000,-1530000000
effectOfExchangeRate,-3000000,10000000,8000000,-15000000
totalCashFromOperatingActivities,8959000000,9232000000,7602000000,6761000000
depreciation,2853000000,2721000000,2596000000,2278000000
otherCashflowsFromInvestingActivities,-4000000,-38000000,34000000,60000000
dividendsPaid,-624000000,-153000000,-550000000,-487000000
changeToInventory,-540000000,-304000000,-158000000,-242000000
changeToAccountReceivables,-962000000,327000000,-326000000,-423000000
otherCashflowsFromFinancingActivities,-1071000000,-866000000,-757000000,-714000000
changeToNetincome,-374000000,1449000000,1559000000,632000000
capitalExpenditures,-3577000000,-2835000000,-4158000000,-3573000000
