,2022,2021,2020,2019,2018
intangibleAssets,6724000000,2877000000.0,2468000000.0,2615000000.0,2751000000.0
capitalSurplus,57000000,522000000.0,470000000.0,393000000.0,348000000.0
totalLiab,19356000000,14792000000.0,14435000000.0,12224000000.0,11400000000.0
totalStockholderEquity,10364000000,9883000000.0,8405000000.0,8233000000.0,8947000000.0
minorityInterest,5952000000,40000000.0,42000000.0,40000000.0,43000000.0
otherCurrentLiab,1080000000,888000000.0,756000000.0,679000000.0,655000000.0
totalAssets,35672000000,24715000000.0,22882000000.0,20497000000.0,20390000000.0
commonStock,477000000,477000000.0,477000000.0,477000000.0,477000000.0
otherCurrentAssets,532000000,529000000.0,303000000.0,324000000.0,369000000.0
retainedEarnings,28053000000,26047000000.0,24955000000.0,24199000000.0,23072000000.0
otherLiab,2972000000,2340000000.0,1951000000.0,1971000000.0,2099000000.0
goodWill,14662000000,7723000000.0,6734000000.0,6536000000.0,6455000000.0
treasuryStock,-18223000000,-17163000000.0,-17497000000.0,-16836000000.0,-14950000000.0
otherAssets,1930000000,1387000000.0,678000000.0,565000000.0,1003000000.0
cash,1804000000,2354000000.0,3315000000.0,1494000000.0,1093000000.0
totalCurrentLiabilities,7777000000,6246000000.0,5785000000.0,5976000000.0,6164000000.0
deferredLongTermAssetCharges,99000000,115000000.0,99000000.0,97000000.0,74000000.0
shortLongTermDebt,516000000,538000000.0,322000000.0,515000000.0,688000000.0
otherStockholderEquity,-1485000000,-872000000.0,-1577000000.0,-1722000000.0,-1015000000.0
propertyPlantEquipment,3850000000,4296000000.0,4196000000.0,3642000000.0,3562000000.0
totalCurrentAssets,8506000000,8432000000.0,8806000000.0,7139000000.0,6619000000.0
netTangibleAssets,-11022000000,-717000000.0,-797000000.0,-918000000.0,-259000000.0
netReceivables,3979000000,3499000000.0,3260000000.0,3441000000.0,3344000000.0
longTermDebt,8259000000,5793000000.0,6326000000.0,4277000000.0,3137000000.0
inventory,2191000000,2050000000.0,1928000000.0,1880000000.0,1813000000.0
accountsPayable,2028000000,2108000000.0,1715000000.0,1874000000.0,1943000000.0
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,4085000000,2912000000.0,2335000000.0,2859000000.0,2667000000.0
netIncome,3231000000,2303000000.0,1965000000.0,2306000000.0,2203000000.0
sellingGeneralAdministrative,4248000000,4179000000.0,3986000000.0,4457000000.0,4269000000.0
grossProfit,8188000000,7563000000.0,7009000000.0,7815000000.0,7432000000.0
ebit,3649000000,3098000000.0,2836000000.0,3062000000.0,2906000000.0
operatingIncome,3649000000,3098000000.0,2836000000.0,3062000000.0,2906000000.0
otherOperatingExpenses,291000000,286000000.0,187000000.0,296000000.0,257000000.0
interestExpense,-228000000,-166000000.0,-175000000.0,-201000000.0,-202000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,855000000,585000000.0,345000000.0,531000000.0,443000000.0
totalRevenue,19629000000,18236000000.0,16785000000.0,18372000000.0,17408000000.0
totalOperatingExpenses,15980000000,15138000000.0,13949000000.0,15310000000.0,14502000000.0
costOfRevenue,11441000000,10673000000.0,9776000000.0,10557000000.0,9976000000.0
totalOtherIncomeExpenseNet,436000000,-186000000.0,-501000000.0,-203000000.0,-239000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,3230000000,2327000000.0,1990000000.0,2328000000.0,2224000000.0
netIncomeApplicableToCommonShares,3231000000,2303000000.0,1965000000.0,2306000000.0,2203000000.0
changeToLiabilities,122000000,370000000.0,-196000000.0,-37000000.0,115000000.0
totalCashflowsFromInvestingActivities,-5334000000,-2120000000.0,-740000000.0,-1174000000.0,-2720000000.0
netBorrowings,3691000000,-812000000.0,1640000000.0,1029000000.0,102000000.0
totalCashFromFinancingActivities,2048000000,-2422000000.0,-509000000.0,-1391000000.0,-2092000000.0
changeToOperatingActivities,46000000,124000000.0,143000000.0,-77000000.0,-40000000.0
changeInCash,-550000000,-961000000.0,1821000000.0,401000000.0,-1969000000.0
repurchaseOfStock,-500000000,-500000000.0,-942000000.0,-1250000000.0,-1000000000.0
effectOfExchangeRate,-186000000,6000000.0,-13000000.0,-40000000.0,-49000000.0
totalCashFromOperatingActivities,2922000000,3575000000.0,3083000000.0,3006000000.0,2892000000.0
depreciation,941000000,856000000.0,741000000.0,716000000.0,655000000.0
otherCashflowsFromInvestingActivities,298000000,38000000.0,-76000000.0,-125000000.0,-101000000.0
dividendsPaid,-1223000000,-1210000000.0,-1209000000.0,-1209000000.0,-1229000000.0
changeToInventory,-469000000,-126000000.0,-6000000.0,-87000000.0,17000000.0
changeToAccountReceivables,-214000000,-165000000.0,207000000.0,51000000.0,-175000000.0
otherCashflowsFromFinancingActivities,80000000,100000000.0,2000000.0,39000000.0,35000000.0
changeToNetincome,-833000000,100000000.0,116000000.0,28000000.0,14000000.0
capitalExpenditures,-531000000,-581000000.0,-538000000.0,-594000000.0,-617000000.0
annualDilutedAverageShares,,601800000.0,606600000.0,620600000.0,
