,2021,2020,2019,2018
intangibleAssets,7402000000.0,7444000000.0,7771000000.0,7767000000.0
capitalSurplus,24449000000.0,24371000000.0,24323000000.0,24693000000.0
totalLiab,33511000000.0,29582000000.0,29676000000.0,29305000000.0
totalStockholderEquity,11388000000.0,11734000000.0,13328000000.0,14625000000.0
minorityInterest,2678000000.0,2814000000.0,3001000000.0,1337000000.0
otherCurrentLiab,375000000.0,196000000.0,395000000.0,308000000.0
totalAssets,47612000000.0,44165000000.0,46040000000.0,45302000000.0
commonStock,1250000000.0,1248000000.0,1247000000.0,1245000000.0
otherCurrentAssets,490000000.0,140000000.0,162000000.0,170000000.0
retainedEarnings,-13237000000.0,-12748000000.0,-11002000000.0,-10002000000.0
otherLiab,6748000000.0,5651000000.0,5372000000.0,5127000000.0
treasuryStock,-1074000000.0,-1137000000.0,-1240000000.0,-1311000000.0
otherAssets,1117000000.0,1022000000.0,859000000.0,746000000.0
cash,1680000000.0,142000000.0,289000000.0,168000000.0
totalCurrentLiabilities,4972000000.0,2319000000.0,3968000000.0,1811000000.0
shortLongTermDebt,2025000000.0,893000000.0,2140000000.0,47000000.0
otherStockholderEquity,-33000000.0,-96000000.0,-199000000.0,-270000000.0
propertyPlantEquipment,29417000000.0,29111000000.0,29407000000.0,27504000000.0
totalCurrentAssets,4549000000.0,1429000000.0,1580000000.0,1464000000.0
longTermInvestments,5127000000.0,5159000000.0,6235000000.0,7821000000.0
netTangibleAssets,3986000000.0,4290000000.0,5369000000.0,6858000000.0
netReceivables,2000000000.0,1011000000.0,1004000000.0,996000000.0
longTermDebt,21650000000.0,21451000000.0,20148000000.0,22367000000.0
inventory,379000000.0,136000000.0,125000000.0,130000000.0
accountsPayable,1746000000.0,482000000.0,552000000.0,662000000.0
goodWill,,,188000000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2073000000.0,277000000.0,1064000000.0,331000000.0
netIncome,1517000000.0,211000000.0,850000000.0,-155000000.0
sellingGeneralAdministrative,550000000.0,477000000.0,558000000.0,594000000.0
grossProfit,5195000000.0,4785000000.0,4665000000.0,4335000000.0
ebit,2641000000.0,2560000000.0,2385000000.0,1954000000.0
operatingIncome,2641000000.0,2560000000.0,2385000000.0,1954000000.0
otherOperatingExpenses,162000000.0,27000000.0,8000000.0,62000000.0
interestExpense,-1179000000.0,-1172000000.0,-1186000000.0,-1112000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,511000000.0,79000000.0,335000000.0,138000000.0
totalRevenue,10775000000.0,7724000000.0,8199000000.0,8686000000.0
totalOperatingExpenses,8134000000.0,5164000000.0,5814000000.0,6732000000.0
costOfRevenue,5580000000.0,2939000000.0,3534000000.0,4351000000.0
totalOtherIncomeExpenseNet,-568000000.0,-2283000000.0,-1321000000.0,-1623000000.0
discontinuedOperations,,,-15000000.0,-15000000.0
netIncomeFromContinuingOps,1562000000.0,198000000.0,729000000.0,193000000.0
netIncomeApplicableToCommonShares,1514000000.0,208000000.0,847000000.0,-156000000.0
investments,-114000000.0,-325000000.0,32000000.0,-1132000000.0
changeToLiabilities,643000000.0,-7000000.0,-46000000.0,-93000000.0
totalCashflowsFromInvestingActivities,-1465000000.0,-1558000000.0,-2827000000.0,-2725000000.0
netBorrowings,1261000000.0,58000000.0,-142000000.0,722000000.0
totalCashFromFinancingActivities,-942000000.0,-2085000000.0,-745000000.0,-1299000000.0
changeToOperatingActivities,-282000000.0,-302000000.0,177000000.0,40000000.0
issuanceOfStock,9000000.0,9000000.0,10000000.0,10000000.0
changeInCash,1538000000.0,-147000000.0,121000000.0,-731000000.0
totalCashFromOperatingActivities,3945000000.0,3496000000.0,3693000000.0,3293000000.0
depreciation,1842000000.0,1721000000.0,1714000000.0,1725000000.0
otherCashflowsFromInvestingActivities,47000000.0,42000000.0,18000000.0,374000000.0
dividendsPaid,-1992000000.0,-1941000000.0,-1842000000.0,-1386000000.0
changeToInventory,-124000000.0,-11000000.0,5000000.0,-16000000.0
changeToAccountReceivables,-545000000.0,-2000000.0,34000000.0,-36000000.0
otherCashflowsFromFinancingActivities,-220000000.0,-211000000.0,1229000000.0,-635000000.0
changeToNetincome,894000000.0,1886000000.0,959000000.0,1828000000.0
capitalExpenditures,-1247000000.0,-1275000000.0,-2149000000.0,-3263000000.0
annualDilutedAverageShares,1218215000.0,1215165000.0,1214011000.0,1210564000.0
