,2021,2020,2019,2018
capitalSurplus,11755069000.0,9363539000.0,7817582000.0,6648430000.0
totalLiab,5410199000.0,7569868000.0,5216630000.0,4432346000.0
totalStockholderEquity,12108268000.0,9415839000.0,7965183000.0,6817449000.0
minorityInterest,78906000.0,77906000.0,83806000.0,83573000.0
deferredLongTermLiab,49618000.0,10667000.0,25709000.0,13252000.0
otherCurrentLiab,226309000.0,176992000.0,137056000.0,116287000.0
totalAssets,17597373000.0,17063613000.0,13265619000.0,11333368000.0
commonStock,6289000.0,5367000.0,4610000.0,4047000.0
otherCurrentAssets,4544000.0,2710000.0,3252000.0,23624000.0
retainedEarnings,346026000.0,139454000.0,208069000.0,187096000.0
otherLiab,78516000.0,77133000.0,147322000.0,120545000.0
treasuryStock,884000.0,-92521000.0,-65078000.0,-22124000.0
otherAssets,52700000.0,12694000.0,26817000.0,14505000.0
cash,739614000.0,315993000.0,1101893000.0,577883000.0
totalCurrentLiabilities,368073000.0,332799000.0,186241000.0,167413000.0
otherStockholderEquity,884000.0,-92521000.0,-65078000.0,-22124000.0
propertyPlantEquipment,238902000.0,244901000.0,1269513000.0,1253960000.0
totalCurrentAssets,16807769000.0,16249324000.0,11909815000.0,9544026000.0
longTermInvestments,498002000.0,556694000.0,59474000.0,520877000.0
netTangibleAssets,12108268000.0,9415839000.0,7965183000.0,6817449000.0
netReceivables,16063611000.0,15930621000.0,10804670000.0,8942519000.0
longTermDebt,4694523000.0,6858053000.0,4856641000.0,4144388000.0
accountsPayable,,,640000.0,1057000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1026045000,897039000,555986000,533558000
netIncome,1013851000,891674000,545964000,523619000
sellingGeneralAdministrative,33122000,30661000,24569000,24429000
grossProfit,1478404000,1199258000,870899000,880213000
ebit,1433937000,904556000,842499000,770288000
operatingIncome,1433937000,904556000,842499000,770288000
otherOperatingExpenses,27808000,15793000,15793000,81810000
interestExpense,-392390000,-308605000,-248384000,-212663000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2887000,831000,1705000,1441000
totalRevenue,1509568000,1225574000,894798000,897977000
totalOperatingExpenses,75631000,321018000,52299000,127689000
costOfRevenue,31164000,26316000,23899000,17764000
totalOtherIncomeExpenseNet,-407892000,-7517000,-286513000,-236730000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1023158000,896208000,554281000,532117000
netIncomeApplicableToCommonShares,1013851000,891674000,545964000,523619000
investments,19973000.0,39501000.0,461403000.0,-520877000.0
changeToLiabilities,0.0,0.0,0.0,-24512000.0
totalCashflowsFromInvestingActivities,41449000.0,-4548759000.0,-1361379000.0,-1140877000.0
netBorrowings,-2100000000.0,1962462000.0,586456000.0,-690058000.0
totalCashFromFinancingActivities,-514178000.0,2879219000.0,1182666000.0,1037836000.0
changeToOperatingActivities,-86821000.0,47981000.0,27408000.0,-5149000.0
issuanceOfStock,2385779000.0,1539748000.0,1164307000.0,2001493000.0
changeInCash,423621000.0,-785900000.0,503446000.0,401041000.0
repurchaseOfStock,-1734000.0,-207000.0,-207000.0,-207000.0
totalCashFromOperatingActivities,896350000.0,883640000.0,682159000.0,504082000.0
depreciation,3091000.0,3731000.0,3831000.0,3686000.0
dividendsPaid,-758790000.0,-612205000.0,-503958000.0,-262682000.0
otherCashflowsFromFinancingActivities,-39433000.0,-10579000.0,-64139000.0,-10917000.0
changeToNetincome,-105223000.0,-79618000.0,71922000.0,462000.0
otherCashflowsFromInvestingActivities,,,,159000000.0
