,2021,2020,2019,2018
intangibleAssets,5275304000.0,1710655000.0,1493383000.0,1199597000.0
totalLiab,18008102000.0,9722555000.0,8750638000.0,7139505000.0
totalStockholderEquity,25052574000.0,10985483000.0,9774456000.0,8088742000.0
minorityInterest,76826000.0,32247000.0,29702000.0,32236000.0
deferredLongTermLiab,4352000.0,7705000.0,11453000.0,14248000.0
otherCurrentLiab,196435000.0,106453000.0,87048000.0,75926000.0
totalAssets,43137502000.0,20740285000.0,18554796000.0,15260483000.0
commonStock,29578212000.0,14700050000.0,12873849000.0,10754495000.0
otherCurrentAssets,158482000.0,58002000.0,140411000.0,39064000.0
otherLiab,1561683000.0,457246000.0,467093000.0,432339000.0
goodWill,3676705000.0,14180000.0,14430000.0,14630000.0
treasuryStock,-4525638000.0,-3714567000.0,-3099393000.0,-2665753000.0
otherAssets,22944000.0,10586000.0,16324000.0,16101000.0
cash,258579000.0,824476000.0,54011000.0,10387000.0
totalCurrentLiabilities,1639830000.0,253671000.0,477508000.0,194553000.0
shortLongTermDebt,271100000.0,,250100000.0,
otherStockholderEquity,-4525638000.0,-3714567000.0,-3099393000.0,-2665753000.0
propertyPlantEquipment,32819892000.0,17705384000.0,16562682000.0,13832613000.0
totalCurrentAssets,1201690000.0,1299480000.0,467977000.0,197542000.0
longTermInvestments,140967000.0,,,
netTangibleAssets,16100565000.0,9260648000.0,8266643000.0,6874515000.0
netReceivables,784629000.0,417002000.0,273555000.0,145091000.0
longTermDebt,14340754000.0,8890823000.0,7677806000.0,6506977000.0
accountsPayable,44080000.0,28959000.0,31457000.0,29426000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,392404000.0,411199000.0,443636000.0,369938000.0
netIncome,359456000.0,395486000.0,436482000.0,363614000.0
sellingGeneralAdministrative,96980000.0,69752000.0,66483000.0,65497000.0
grossProfit,1947964000.0,1542484000.0,1399578000.0,1261512000.0
ebit,953149000.0,795694000.0,739134000.0,656235000.0
operatingIncome,953149000.0,795694000.0,739134000.0,656235000.0
otherOperatingExpenses,,,,
interestExpense,-323644000.0,-309336000.0,-290991000.0,-266020000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,31657000.0,14693000.0,6158000.0,5340000.0
totalRevenue,2081569000.0,1647087000.0,1488163000.0,1327838000.0
totalOperatingExpenses,1128420000.0,851393000.0,749029000.0,671603000.0
costOfRevenue,133605000.0,104603000.0,88585000.0,66326000.0
totalOtherIncomeExpenseNet,-560745000.0,-384495000.0,-295498000.0,-286297000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,360747000.0,396506000.0,437478000.0,364598000.0
netIncomeApplicableToCommonShares,359456000.0,395486000.0,436482000.0,363614000.0
investments,38345000.0,38345000.0,38345000.0,38345000.0
changeToLiabilities,3219000.0,19720000.0,24056000.0,18695000.0
totalCashflowsFromInvestingActivities,-6437695000.0,-2032379000.0,-3501809000.0,-1639684000.0
netBorrowings,840686000.0,872986000.0,1258205000.0,391729000.0
totalCashFromFinancingActivities,4577120000.0,1692079000.0,2492602000.0,707871000.0
issuanceOfStock,4453957000.0,1832930000.0,2118016000.0,1134478000.0
changeInCash,-518310000.0,779674000.0,49934000.0,8929000.0
effectOfExchangeRate,20076000.0,4431000.0,-9796000.0,-9796000.0
totalCashFromOperatingActivities,1322189000.0,1115543000.0,1068937000.0,940742000.0
depreciation,952435000.0,707938000.0,616061000.0,556680000.0
otherCashflowsFromInvestingActivities,-28390000.0,-28390000.0,-14603000.0,7448000.0
dividendsPaid,-1169026000.0,-964167000.0,-852134000.0,-761582000.0
changeToAccountReceivables,-38292000.0,-79240000.0,-8954000.0,-6901000.0
otherCashflowsFromFinancingActivities,451503000.0,-49670000.0,-10362000.0,-54002000.0
changeToNetincome,33038000.0,60636000.0,-8503000.0,-367000.0
repurchaseOfStock,,,-21123000.0,-2752000.0
annualDilutedAverageShares,591261991.0,346917544.0,316601350.0,288582540.0
