,2021,2020,2019,2018
intangibleAssets,273693000.0,282570000.0,290564000.0,262902000.0
totalLiab,15981762000.0,14267628000.0,12926059000.0,12315497000.0
totalStockholderEquity,5906200000.0,5633503000.0,5430648000.0,5222915000.0
minorityInterest,115260000.0,119290000.0,122540000.0,125790000.0
deferredLongTermLiab,1192987000.0,1133987000.0,1304073000.0,1342941000.0
otherCurrentLiab,726222000.0,700407000.0,707722000.0,694979000.0
totalAssets,22003222000.0,20020421000.0,18479247000.0,17664202000.0
commonStock,2702743000.0,2677482000.0,2659561000.0,2634265000.0
otherCurrentAssets,665901000.0,371271000.0,265680000.0,224143000.0
retainedEarnings,3264719000.0,3025106000.0,2837610000.0,2641183000.0
otherLiab,6582757000.0,6231593000.0,5963264000.0,6028301000.0
treasuryStock,-61262000.0,-69085000.0,-66523000.0,-52533000.0
otherAssets,3680670000.0,3271473000.0,2904366000.0,2829858000.0
cash,9969000.0,59968000.0,10283000.0,5766000.0
totalCurrentLiabilities,1756869000.0,1360433000.0,2078365000.0,1648964000.0
shortLongTermDebt,150000000.0,,800000000.0,500000000.0
otherStockholderEquity,-54861000.0,-62796000.0,-57096000.0,-47708000.0
propertyPlantEquipment,16497759000.0,15268059000.0,14254287000.0,13646451000.0
totalCurrentAssets,1551100000.0,1198319000.0,1030030000.0,924991000.0
netTangibleAssets,5632507000.0,5350933000.0,5140084000.0,4960013000.0
netReceivables,508063000.0,432783000.0,408147000.0,400988000.0
longTermDebt,6913735000.0,6314266000.0,4832558000.0,4638232000.0
inventory,367167000.0,334297000.0,345920000.0,294094000.0
accountsPayable,393083000.0,318585000.0,346448000.0,277336000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,746030000,648225000,542040000,664442000
netIncome,618720000,550559000,538320000,511047000
sellingGeneralAdministrative,-112541000,-56341000,-22989000,-49791000
grossProfit,1697217000,1634653000,1487356000,1578387000
ebit,917851000,844493000,694949000,823478000
operatingIncome,917851000,844493000,694949000,823478000
otherOperatingExpenses,241032000,232123000,224467000,222346000
interestExpense,-254314000,-247501000,-235251000,-243465000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,110086000,78173000,-15773000,133902000
totalRevenue,3803835000,3586982000,3471209000,3691247000
totalOperatingExpenses,2885984000,2742489000,2776260000,2867769000
costOfRevenue,2106618000,1952329000,1983853000,2112860000
totalOtherIncomeExpenseNet,-171821000,-196268000,-152909000,-159036000
discontinuedOperations,,,,
netIncomeFromContinuingOps,635944000,570052000,557813000,530540000
netIncomeApplicableToCommonShares,618720000,550559000,538320000,511047000
changeToLiabilities,20267000.0,-6059000.0,50641000.0,-14602000.0
totalCashflowsFromInvestingActivities,-1386929000.0,-1277818000.0,-1130977000.0,-1192824000.0
netBorrowings,869999000.0,735847000.0,530463000.0,244245000.0
totalCashFromFinancingActivities,476916000.0,361138000.0,178768000.0,-92446000.0
changeToOperatingActivities,-293008000.0,-248279000.0,-179870000.0,-19688000.0
changeInCash,-49999000.0,49685000.0,4517000.0,-8126000.0
repurchaseOfStock,-2350000.0,-1389000.0,-1389000.0,-5055000.0
totalCashFromOperatingActivities,860014000.0,966365000.0,956726000.0,1277144000.0
depreciation,719141000.0,686253000.0,664140000.0,650955000.0
otherCashflowsFromInvestingActivities,107598000.0,67296000.0,78998000.0,10525000.0
dividendsPaid,-369478000.0,-350577000.0,-329643000.0,-308892000.0
changeToInventory,-32870000.0,11623000.0,-51826000.0,-6103000.0
changeToAccountReceivables,-74342000.0,-22223000.0,-3784000.0,12794000.0
otherCashflowsFromFinancingActivities,-21255000.0,-22743000.0,-22744000.0,-22744000.0
changeToNetincome,-150255000.0,-25269000.0,-81460000.0,137379000.0
capitalExpenditures,-1494527000.0,-1345114000.0,-1209975000.0,-1203349000.0
issuanceOfStock,,,692000.0,692000.0
