,2021,2020,2019,2018
intangibleAssets,611000000.0,428000000.0,475000000.0,535000000.0
capitalSurplus,15222000000.0,8781000000.0,8806000000.0,9181000000.0
totalLiab,154746000000.0,110045000000.0,97207000000.0,97679000000.0
totalStockholderEquity,17130000000.0,10802000000.0,10592000000.0,9899000000.0
minorityInterest,21000000.0,,,
totalAssets,174064000000.0,123038000000.0,109002000000.0,108781000000.0
commonStock,14000000.0,10000000.0,10000000.0,11000000.0
otherCurrentAssets,2062000000.0,1596000000.0,877000000.0,804000000.0
retainedEarnings,2202000000.0,1878000000.0,2088000000.0,1361000000.0
otherLiab,3481000000.0,2226000000.0,2068000000.0,2076000000.0
goodWill,5349000000.0,1990000000.0,1990000000.0,1989000000.0
treasuryStock,-308000000.0,133000000.0,-312000000.0,-654000000.0
otherAssets,115254000000.0,83742000000.0,78725000000.0,78278000000.0
cash,5522000000.0,6595000000.0,1170000000.0,2672000000.0
totalCurrentLiabilities,145096000000.0,101099000000.0,87360000000.0,87552000000.0
shortLongTermDebt,1316000000.0,1852000000.0,2303000000.0,574000000.0
otherStockholderEquity,-229000000.0,192000000.0,-256000000.0,-609000000.0
propertyPlantEquipment,1480000000.0,956000000.0,973000000.0,790000000.0
totalCurrentAssets,8675000000.0,9501000000.0,2749000000.0,3866000000.0
longTermInvestments,42695000000.0,26421000000.0,24090000000.0,23323000000.0
netTangibleAssets,11539000000.0,8621000000.0,8370000000.0,7629000000.0
shortTermInvestments,392000000.0,117000000.0,102000000.0,53000000.0
longTermDebt,5792000000.0,6500000000.0,7546000000.0,8051000000.0
inventory,34000000.0,31000000.0,30000000.0,23000000.0
accountsPayable,143263000000.0,98948000000.0,82347000000.0,84774000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1591000000,972000000,1659000000,1628000000
netIncome,1295000000,817000000,1411000000,1393000000
sellingGeneralAdministrative,3953000000,2508000000,2417000000,2314000000
grossProfit,5958000000,3763000000,4376000000,4279000000
ebit,0,0,0,0
operatingIncome,1690000000,1045000000,1742000000,1744000000
otherOperatingExpenses,315000000,210000000,217000000,221000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,294000000,155000000,248000000,235000000
totalRevenue,5958000000,3763000000,4376000000,4279000000
totalOperatingExpenses,4268000000,2718000000,2634000000,2535000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-99000000,-73000000,-83000000,-116000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1297000000,817000000,1411000000,1393000000
netIncomeApplicableToCommonShares,1153000000,717000000,1337000000,1323000000
investments,-6679000000,-2054000000,-619000000,1538000000
changeToLiabilities,0,0,0,0
totalCashflowsFromInvestingActivities,-3962000000,-8639000000,-1877000000,-3663000000
netBorrowings,-3874000000,-4039000000,1639000000,-3594000000
totalCashFromFinancingActivities,827000000,12741000000,-1199000000,3089000000
changeToOperatingActivities,337000000,-928000000,-613000000,-514000000
changeInCash,-1073000000,5425000000,-1502000000,1152000000
repurchaseOfStock,-650000000,-92000000,-441000000,-966000000
totalCashFromOperatingActivities,2062000000,1323000000,1574000000,1726000000
depreciation,391000000,367000000,386000000,493000000
otherCashflowsFromInvestingActivities,91000000,67000000,228000000,102000000
dividendsPaid,-888000000,-698000000,-671000000,-584000000
otherCashflowsFromFinancingActivities,6453000000,16582000000,-1726000000,7738000000
changeToNetincome,23000000,1030000000,422000000,365000000
capitalExpenditures,-247000000,-119000000,-107000000,-110000000
