,2021,2020,2019,2018
capitalSurplus,174445000.0,226451000.0,218462000.0,142176000.0
totalLiab,1141737000.0,1043122000.0,914851000.0,864800000.0
totalStockholderEquity,3679807000.0,3326288000.0,3080717000.0,2680483000.0
totalAssets,4821544000.0,4369410000.0,3995568000.0,3545283000.0
commonStock,11501000.0,11706000.0,11953000.0,8123000.0
retainedEarnings,3493861000.0,3088131000.0,2850302000.0,2530184000.0
otherLiab,488756000.0,476761000.0,447666000.0,463068000.0
otherAssets,121771000.0,107640000.0,94599000.0,64648000.0
cash,462564000.0,401430000.0,403571000.0,190282000.0
totalCurrentLiabilities,464234000.0,373130000.0,366085000.0,356732000.0
propertyPlantEquipment,3315986000.0,3018431000.0,3034135000.0,2754943000.0
totalCurrentAssets,1383787000.0,1243339000.0,866834000.0,706229000.0
netTangibleAssets,3679807000.0,3326288000.0,3080717000.0,2661020000.0
shortTermInvestments,254433000.0,330274000.0,,
netReceivables,599102000.0,454222000.0,408165000.0,468260000.0
longTermDebt,99947000.0,99931000.0,45000000.0,45000000.0
accountsPayable,82519000.0,68511000.0,70254000.0,78518000.0
otherCurrentLiab,,8711000.0,2847000.0,356732000.0
otherCurrentAssets,,,,515947000.0
goodWill,,,,19463000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1388423000,901364000,823949000,815513000
minorityInterest,,,,
netIncome,1034375000,672682000,615518000,605668000
sellingGeneralAdministrative,189608000,152643000,176524000,163298000
grossProfit,2000794000,1458315000,1394296000,1343530000
ebit,1391602000,906882000,818706000,817051000
operatingIncome,1391602000,906882000,818706000,817051000
otherOperatingExpenses,159701000,137531000,145385000,132824000
interestExpense,-1727000,-2782000,-377000,-189000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,354048000,228682000,208431000,209845000
totalRevenue,5256328000,4015129000,4109111000,4043695000
totalOperatingExpenses,3864726000,3108247000,3290405000,3226644000
costOfRevenue,3255534000,2556814000,2714815000,2700165000
totalOtherIncomeExpenseNet,-3179000,-5518000,5243000,-1538000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1034375000,672682000,615518000,605668000
netIncomeApplicableToCommonShares,1034375000,672682000,615518000,605668000
investments,75741000.0,-330172000.0,-330172000.0,-330172000.0
changeToLiabilities,14008000.0,-1743000.0,-8264000.0,4789000.0
totalCashflowsFromInvestingActivities,-455288000.0,-551663000.0,-473639000.0,-580391000.0
totalCashFromFinancingActivities,-696184000.0,-383502000.0,-296960000.0,-256905000.0
changeToOperatingActivities,-1716000.0,58088000.0,13005000.0,48701000.0
changeInCash,61134000.0,-2141000.0,213289000.0,62820000.0
repurchaseOfStock,-536465000.0,-364057000.0,-240960000.0,-163265000.0
totalCashFromOperatingActivities,1212606000.0,933024000.0,983888000.0,900116000.0
depreciation,259899000.0,261267000.0,253681000.0,230357000.0
otherCashflowsFromInvestingActivities,-500000.0,-100000.0,-100000.0,918000.0
dividendsPaid,-92366000.0,-71023000.0,-54552000.0,-42566000.0
changeToAccountReceivables,-125562000.0,-49045000.0,30330000.0,-34666000.0
otherCashflowsFromFinancingActivities,-67353000.0,-3345000.0,-1448000.0,-1074000.0
changeToNetincome,59531000.0,-16975000.0,47006000.0,63080000.0
capitalExpenditures,-550077000.0,-225081000.0,-479325000.0,-588292000.0
netBorrowings,,54923000.0,54923000.0,-50000000.0
