,2021,2020,2019,2018
intangibleAssets,1973000000.0,2258000000.0,764054000.0,693842000.0
capitalSurplus,2428000000.0,2329100000.0,2275726000.0,1275059000.0
totalLiab,6950800000.0,7857300000.0,5860098000.0,3508502000.0
totalStockholderEquity,3025900000.0,2896700000.0,2995530000.0,1754486000.0
minorityInterest,61100000.0,64400000.0,,
otherCurrentLiab,540700000.0,623900000.0,224412000.0,257044000.0
totalAssets,10037800000.0,10818400000.0,8855628000.0,5262988000.0
commonStock,110100000.0,110100000.0,110143000.0,104847000.0
otherCurrentAssets,46500000.0,76900000.0,8178000.0,20746000.0
retainedEarnings,4257800000.0,4204200000.0,4354619000.0,4184374000.0
otherLiab,538300000.0,794000000.0,556559000.0,539086000.0
goodWill,3419600000.0,3691700000.0,494584000.0,485881000.0
treasuryStock,-3770000000.0,-3746700000.0,-3744958000.0,-3809794000.0
otherAssets,496000000.0,533100000.0,467221000.0,744288000.0
cash,983400000.0,1376500000.0,4580369000.0,1182371000.0
totalCurrentLiabilities,2455900000.0,2403300000.0,1257082000.0,1274324000.0
deferredLongTermAssetCharges,132100000.0,137600000.0,92401000.0,174077000.0
shortLongTermDebt,200100000.0,432600000.0,,
otherStockholderEquity,-235300000.0,-195000000.0,-184220000.0,-294514000.0
propertyPlantEquipment,421100000.0,489000000.0,382248000.0,256473000.0
totalCurrentAssets,3728100000.0,3846600000.0,6747521000.0,3082504000.0
netTangibleAssets,-2366700000.0,-3053000000.0,1736892000.0,574763000.0
netReceivables,1787300000.0,1676100000.0,1442779000.0,1200947000.0
longTermDebt,3824200000.0,4660000000.0,4046457000.0,1695092000.0
inventory,552100000.0,395600000.0,446105000.0,443383000.0
accountsPayable,580200000.0,425500000.0,343927000.0,333521000.0
shortTermInvestments,,,25518000.0,23913000.0
deferredLongTermLiab,,,,157351000.0
researchDevelopment,315700000,259500000,262200000,246165000
effectOfAccountingCharges,,,,
incomeBeforeTax,581900000,322100000,594300000,270402000
netIncome,428700000,222500000,520500000,220434000
sellingGeneralAdministrative,1933300000,1657500000,1441400000,1476226000
grossProfit,3243900000,2789400000,2412300000,2333402000
ebit,878100000,727700000,661400000,582308000
operatingIncome,878100000,727700000,661400000,582308000
otherOperatingExpenses,,,,
interestExpense,-179700000,-202100000,-121500000,-90826000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146600000,96700000,73800000,49968000
totalRevenue,6420400000,5465400000,4720200000,4579646000
totalOperatingExpenses,5542300000,4737700000,4058800000,3997338000
costOfRevenue,3176500000,2676000000,2307900000,2246244000
totalOtherIncomeExpenseNet,-296200000,-405600000,-67100000,-311906000
discontinuedOperations,,,,
netIncomeFromContinuingOps,435300000,225400000,520500000,220434000
netIncomeApplicableToCommonShares,428700000,222500000,520500000,220434000
changeToLiabilities,313200000.0,49300000.0,62300000.0,107426000.0
totalCashflowsFromInvestingActivities,242000000.0,-4500200000.0,-60900000.0,-286477000.0
netBorrowings,-1081700000.0,828500000.0,2346200000.0,-142357000.0
totalCashFromFinancingActivities,-1459800000.0,405900000.0,2810600000.0,-737101000.0
changeToOperatingActivities,-782600000.0,-364600000.0,-35200000.0,-179131000.0
issuanceOfStock,30600000.0,16600000.0,1007000000.0,29999000.0
changeInCash,-430500000.0,-3130700000.0,3398000000.0,-398863000.0
repurchaseOfStock,-13700000.0,-53400000.0,-74500000.0,-308398000.0
effectOfExchangeRate,-30600000.0,-12700000.0,-4800000.0,-21282000.0
totalCashFromOperatingActivities,817900000.0,976300000.0,653100000.0,645997000.0
depreciation,280100000.0,264900000.0,180800000.0,167958000.0
otherCashflowsFromInvestingActivities,-3800000.0,38500000.0,81500000.0,9400000.0
dividendsPaid,-374500000.0,-372700000.0,-336600000.0,-309258000.0
changeToInventory,-173900000.0,62800000.0,-4600000.0,-37211000.0
changeToAccountReceivables,-159500000.0,210800000.0,-211500000.0,180113000.0
otherCashflowsFromFinancingActivities,-20500000.0,-13100000.0,-131500000.0,-7087000.0
changeToNetincome,301700000.0,161900000.0,69800000.0,115475000.0
capitalExpenditures,-132700000.0,-125800000.0,-133600000.0,-295877000.0
investments,,,-8761000.0,-8761000.0
