,2021,2020,2019,2018
intangibleAssets,6376000000.0,4180000000.0,5518000000.0,6878000000.0
capitalSurplus,88415000000.0,88394000000.0,88522000000.0,89162000000.0
totalLiab,3449440000000.0,3105403000000.0,2426049000000.0,2366017000000.0
totalStockholderEquity,259289000000.0,249291000000.0,234337000000.0,230447000000.0
otherCurrentLiab,114577000000.0,99558000000.0,75569000000.0,103004000000.0
totalAssets,3743567000000.0,3384757000000.0,2687379000000.0,2622532000000.0
commonStock,4105000000.0,4105000000.0,4105000000.0,4105000000.0
otherCurrentAssets,277348000000.0,235637000000.0,232279000000.0,207405000000.0
retainedEarnings,272268000000.0,236990000000.0,223211000000.0,199202000000.0
otherLiab,2261000000.0,2420000000.0,,
goodWill,50315000000.0,49248000000.0,47823000000.0,47471000000.0
treasuryStock,-105499000000.0,-80198000000.0,-81501000000.0,-62022000000.0
otherAssets,1264438000000.0,1144340000000.0,1109292000000.0,1081167000000.0
cash,721201000000.0,503209000000.0,217142000000.0,238077000000.0
totalCurrentLiabilities,3151444000000.0,2795212000000.0,2108205000000.0,2063745000000.0
shortLongTermDebt,22776000000.0,,,
otherStockholderEquity,-84000000.0,7986000000.0,1548000000.0,-1528000000.0
propertyPlantEquipment,44623000000.0,48264000000.0,49400000000.0,36362000000.0
totalCurrentAssets,1693889000000.0,1538408000000.0,1068584000000.0,1181001000000.0
longTermInvestments,683926000000.0,600317000000.0,406762000000.0,269653000000.0
netTangibleAssets,208092000000.0,199139000000.0,185695000000.0,182228000000.0
shortTermInvestments,261631000000.0,296284000000.0,249223000000.0,321579000000.0
longTermDebt,288979000000.0,299263000000.0,309339000000.0,302272000000.0
inventory,134000000.0,152000000.0,253000000.0,226000000.0
accountsPayable,2529897000000.0,2213223000000.0,1635858000000.0,1543482000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,59562000000,35815000000,44866000000,40764000000
minorityInterest,,,,
netIncome,48334000000,29131000000,36431000000,32474000000
sellingGeneralAdministrative,65874000000,60715000000,60182000000,57417000000
grossProfit,130898000000,102471000000,110134000000,103744000000
ebit,0,0,0,0
operatingIncome,59988000000,36930000000,45105000000,40836000000
otherOperatingExpenses,5036000000,4826000000,4847000000,5491000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,11228000000,6684000000,8435000000,8290000000
totalRevenue,130898000000,102471000000,110134000000,103744000000
totalOperatingExpenses,70910000000,65541000000,65029000000,62908000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-426000000,-1115000000,-239000000,-72000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,48334000000,29131000000,36431000000,32474000000
netIncomeApplicableToCommonShares,46503000000,27410000000,34642000000,30709000000
investments,-96821000000,-180752000000,-129772000000,-18046000000
changeToLiabilities,43162000000,7415000000,-466000000,14630000000
totalCashflowsFromInvestingActivities,-129344000000,-261912000000,-52059000000,-199420000000
netBorrowings,10197000000,10944000000,-31450000000,38952000000
totalCashFromFinancingActivities,275993000000,596645000000,32987000000,34158000000
changeToOperatingActivities,-80570000000,14034000000,-59924000000,2650000000
changeInCash,213225000000,263978000000,-15162000000,-152511000000
repurchaseOfStock,-18408000000,-6517000000,-24001000000,-19983000000
effectOfExchangeRate,-11508000000,9155000000,-182000000,-2863000000
totalCashFromOperatingActivities,78084000000,-79910000000,4092000000,15614000000
depreciation,7932000000,8614000000,8368000000,7791000000
otherCashflowsFromInvestingActivities,23429000000,-54456000000,67361000000,-128187000000
dividendsPaid,-12858000000,-12690000000,-12343000000,-10109000000
otherCashflowsFromFinancingActivities,292287000000,601838000000,99856000000,25298000000
changeToNetincome,-14083000000,27657000000,13210000000,-1015000000
