,2021,2020,2019,2018
intangibleAssets,388000000.0,357000000.0,259000000.0,288000000.0
totalLiab,5497000000.0,5356000000.0,5083000000.0,5324000000.0
totalStockholderEquity,-179000000.0,195000000.0,-235000000.0,-111000000.0
minorityInterest,257000000.0,226000000.0,179000000.0,180000000.0
otherCurrentLiab,121000000.0,155000000.0,282000000.0,421000000.0
totalAssets,5575000000.0,5777000000.0,5027000000.0,5393000000.0
commonStock,241000000.0,258000000.0,276000000.0,294000000.0
retainedEarnings,-652000000.0,79000000.0,-332000000.0,-278000000.0
otherLiab,437000000.0,481000000.0,602000000.0,669000000.0
goodWill,568000000.0,563000000.0,509000000.0,511000000.0
treasuryStock,232000000.0,-142000000.0,-179000000.0,-127000000.0
otherAssets,89000000.0,137000000.0,483000000.0,931000000.0
cash,926000000.0,1326000000.0,697000000.0,552000000.0
totalCurrentLiabilities,1939000000.0,1934000000.0,1548000000.0,1684000000.0
deferredLongTermAssetCharges,57000000.0,109000000.0,99000000.0,42000000.0
shortLongTermDebt,7000000.0,1000000.0,,8000000.0
otherStockholderEquity,232000000.0,-142000000.0,-179000000.0,-127000000.0
propertyPlantEquipment,1083000000.0,1074000000.0,1054000000.0,885000000.0
totalCurrentAssets,3422000000.0,3489000000.0,2711000000.0,2766000000.0
longTermInvestments,25000000.0,157000000.0,11000000.0,12000000.0
netTangibleAssets,-1135000000.0,-725000000.0,-1003000000.0,-910000000.0
netReceivables,1172000000.0,1140000000.0,999000000.0,992000000.0
longTermDebt,2926000000.0,2766000000.0,2743000000.0,2971000000.0
inventory,1216000000.0,876000000.0,754000000.0,798000000.0
accountsPayable,1045000000.0,893000000.0,697000000.0,736000000.0
otherCurrentAssets,,,173000000.0,342000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,688000000,1131000000,914000000,907000000
netIncome,410000000,1224000000,935000000,734000000
sellingGeneralAdministrative,1843000000,1327000000,1295000000,1264000000
grossProfit,2863000000,2587000000,2371000000,2367000000
ebit,1020000000,1260000000,1076000000,1103000000
operatingIncome,1020000000,1260000000,1076000000,1103000000
otherOperatingExpenses,,,,
interestExpense,-278000000,-144000000,-159000000,-156000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,210000000,269000000,230000000,221000000
totalRevenue,8375000000,7188000000,6707000000,6654000000
totalOperatingExpenses,7355000000,5928000000,5631000000,5551000000
costOfRevenue,5512000000,4601000000,4336000000,4287000000
totalOtherIncomeExpenseNet,-332000000,-129000000,-162000000,-196000000
discontinuedOperations,,414000000.0,296000000.0,98000000.0
netIncomeFromContinuingOps,478000000,862000000,684000000,686000000
netIncomeApplicableToCommonShares,406000000,1215000000,929000000,727000000
investments,171000000.0,3000000.0,1000000.0,113000000.0
changeToLiabilities,190000000.0,332000000.0,-27000000.0,108000000.0
totalCashflowsFromInvestingActivities,-12000000.0,531000000.0,582000000.0,-651000000.0
netBorrowings,152000000.0,13000000.0,-209000000.0,-115000000.0
totalCashFromFinancingActivities,-1298000000.0,-886000000.0,-1291000000.0,-1020000000.0
issuanceOfStock,5000000.0,26000000.0,27000000.0,14000000.0
changeInCash,-400000000.0,629000000.0,138000000.0,-635000000.0
repurchaseOfStock,-1041000000.0,-752000000.0,-919000000.0,-696000000.0
effectOfExchangeRate,-20000000.0,31000000.0,14000000.0,4000000.0
totalCashFromOperatingActivities,930000000.0,953000000.0,833000000.0,1032000000.0
depreciation,151000000.0,133000000.0,130000000.0,120000000.0
otherCashflowsFromInvestingActivities,-3000000.0,-2000000.0,-13000000.0,-10000000.0
dividendsPaid,-211000000.0,-145000000.0,-144000000.0,-134000000.0
changeToInventory,-350000000.0,-89000000.0,58000000.0,-11000000.0
changeToAccountReceivables,-64000000.0,-141000000.0,-37000000.0,-46000000.0
otherCashflowsFromFinancingActivities,-203000000.0,-28000000.0,-46000000.0,-89000000.0
changeToNetincome,593000000.0,-508000000.0,-238000000.0,106000000.0
capitalExpenditures,-128000000.0,-114000000.0,-162000000.0,-219000000.0
changeToOperatingActivities,,,,51000000.0
