,2021,2020,2019,2018
intangibleAssets,8360000000.0,4980000000.0,2107000000.0,2163000000.0
capitalSurplus,28841000000.0,25546000000.0,23935000000.0,23794000000.0
totalLiab,1081542000000.0,1012713000000.0,812732000000.0,772125000000.0
totalStockholderEquity,97691000000.0,92531000000.0,73029000000.0,71726000000.0
minorityInterest,1157000000.0,1368000000.0,1148000000.0,1160000000.0
otherCurrentLiab,130164000000.0,112693000000.0,104922000000.0,99489000000.0
totalAssets,1188140000000.0,1115862000000.0,895429000000.0,853531000000.0
commonStock,20000000.0,20000000.0,20000000.0,20000000.0
otherCurrentAssets,118018000000.0,145391000000.0,140963000000.0,192856000000.0
retainedEarnings,89432000000.0,78694000000.0,70589000000.0,64175000000.0
otherLiab,365313000000.0,331058000000.0,206733000000.0,205024000000.0
goodWill,16833000000.0,11635000000.0,7143000000.0,6688000000.0
treasuryStock,-20602000000.0,-11729000000.0,-21515000000.0,-16263000000.0
otherAssets,17009000000.0,14913000000.0,13756000000.0,13209000000.0
cash,127725000000.0,105654000000.0,82171000000.0,30541000000.0
totalCurrentLiabilities,495637000000.0,484570000000.0,426602000000.0,402188000000.0
shortLongTermDebt,17329000000.0,26199000000.0,22273000000.0,30634000000.0
otherStockholderEquity,-3102000000.0,-1962000000.0,-2788000000.0,-2292000000.0
propertyPlantEquipment,4268000000.0,4419000000.0,3998000000.0,
totalCurrentAssets,956458000000.0,895351000000.0,760337000000.0,737207000000.0
longTermInvestments,185212000000.0,184564000000.0,108088000000.0,94264000000.0
netTangibleAssets,72498000000.0,75916000000.0,63779000000.0,62880000000.0
shortTermInvestments,249712000000.0,228625000000.0,194773000000.0,214835000000.0
netReceivables,268424000000.0,234653000000.0,173341000000.0,152498000000.0
longTermDebt,216321000000.0,192599000000.0,175382000000.0,164913000000.0
accountsPayable,228685000000.0,227437000000.0,197834000000.0,179559000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,19668000000,14418000000,11301000000,11237000000
netIncome,15034000000,10996000000,9042000000,8748000000
sellingGeneralAdministrative,29827000000,24901000000,22890000000,21979000000
grossProfit,53295000000,43363000000,36851000000,35698000000
ebit,0,0,0,0
operatingIncome,23464000000,17701000000,13800000000,13719000000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4548000000,3239000000,2064000000,2350000000
totalRevenue,59755000000,48757000000,41538000000,40107000000
totalOperatingExpenses,36291000000,31056000000,27738000000,26388000000
costOfRevenue,6460000000,5394000000,4687000000,4409000000
totalOtherIncomeExpenseNet,-3796000000,-3283000000,-2499000000,-2482000000
discontinuedOperations,,,,-4000000.0
netIncomeFromContinuingOps,15120000000,11179000000,9237000000,8887000000
netIncomeApplicableToCommonShares,14566000000,10500000000,8512000000,8222000000
investments,-8003000000,-21510000000,-13423000000,-11924000000
changeToLiabilities,7758000000,10187000000,19942000000,-13063000000
totalCashflowsFromInvestingActivities,-49897000000,-37898000000,-33561000000,-22881000000
netBorrowings,19524000000,13036000000,-6248000000,4052000000
totalCashFromFinancingActivities,41547000000,83784000000,-11966000000,24205000000
changeToOperatingActivities,-4918000000,-38240000000,21101000000,-14916000000
changeInCash,22071000000,23483000000,-5025000000,6801000000
repurchaseOfStock,-12075000000,-1890000000,-5954000000,-5566000000
effectOfExchangeRate,-3550000000,2828000000,-271000000,-1828000000
totalCashFromOperatingActivities,33971000000,-25231000000,40773000000,7305000000
depreciation,4216000000,3769000000,2643000000,1844000000
otherCashflowsFromInvestingActivities,-832000000,-802000000,-953000000,-298000000
dividendsPaid,-4171000000,-2739000000,-2627000000,-2375000000
changeToAccountReceivables,774000000,-29774000000,233000000,-728000000
otherCashflowsFromFinancingActivities,36994000000,75377000000,2366000000,28094000000
changeToNetincome,2032000000,2280000000,1479000000,1688000000
capitalExpenditures,-2308000000,-1444000000,-1826000000,-1865000000
