,2021,2020,2019,2018
intangibleAssets,159493000000.0,146316000000.0,157617000000.0,163827000000.0
capitalSurplus,130112000000.0,130175000000.0,126279000000.0,125525000000.0
totalLiab,367767000000.0,346521000000.0,349735000000.0,337980000000.0
totalStockholderEquity,166332000000.0,161673000000.0,184221000000.0,184089000000.0
minorityInterest,17523000000.0,17567000000.0,17713000000.0,9795000000.0
deferredLongTermLiab,7396000000.0,8832000000.0,9430000000.0,9523000000.0
otherCurrentLiab,14111000000.0,17738000000.0,16830000000.0,19747000000.0
totalAssets,551622000000.0,525761000000.0,551669000000.0,531864000000.0
commonStock,7621000000.0,7621000000.0,7621000000.0,7621000000.0
otherCurrentAssets,5154000000.0,7214000000.0,12320000000.0,12241000000.0
retainedEarnings,42350000000.0,37457000000.0,57936000000.0,58753000000.0
otherLiab,107048000000.0,107106000000.0,107711000000.0,104708000000.0
goodWill,133223000000.0,135259000000.0,146241000000.0,146370000000.0
treasuryStock,-13751000000.0,-13580000000.0,-7615000000.0,-7810000000.0
otherAssets,40208000000.0,38369000000.0,35188000000.0,32522000000.0
cash,21169000000.0,9740000000.0,12130000000.0,5204000000.0
totalCurrentLiabilities,85588000000.0,63438000000.0,68911000000.0,64420000000.0
shortLongTermDebt,13002000000.0,3281000000.0,11672000000.0,7190000000.0
otherStockholderEquity,3529000000.0,4330000000.0,5470000000.0,4249000000.0
propertyPlantEquipment,150084000000.0,152029000000.0,154167000000.0,131473000000.0
totalCurrentAssets,59997000000.0,52008000000.0,54761000000.0,51427000000.0
longTermInvestments,8617000000.0,1780000000.0,3695000000.0,6245000000.0
netTangibleAssets,-126384000000.0,-119902000000.0,-119637000000.0,-126108000000.0
shortTermInvestments,41000000.0,,,
netReceivables,22378000000.0,23745000000.0,25816000000.0,29164000000.0
longTermDebt,152386000000.0,151928000000.0,149437000000.0,166941000000.0
inventory,3464000000.0,3695000000.0,2864000000.0,2771000000.0
accountsPayable,30756000000.0,31836000000.0,29640000000.0,27018000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,26947000000.0,-2856000000.0,18468000000.0,24873000000.0
netIncome,20081000000.0,-5176000000.0,13903000000.0,19370000000.0
sellingGeneralAdministrative,29290000000.0,37668000000.0,41094000000.0,31289000000.0
grossProfit,89057000000.0,91840000000.0,97052000000.0,91337000000.0
ebit,36905000000.0,25656000000.0,27741000000.0,31618000000.0
operatingIncome,36905000000.0,25656000000.0,27741000000.0,31618000000.0
otherOperatingExpenses,,,,
interestExpense,-6884000000.0,-7925000000.0,-8422000000.0,-7957000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5468000000.0,965000000.0,3493000000.0,4920000000.0
totalRevenue,168864000000.0,171760000000.0,181193000000.0,170756000000.0
totalOperatingExpenses,131959000000.0,146104000000.0,153452000000.0,139138000000.0
costOfRevenue,79807000000.0,79920000000.0,84141000000.0,79419000000.0
totalOtherIncomeExpenseNet,-9958000000.0,-28512000000.0,-9273000000.0,-6745000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,21479000000.0,-3821000000.0,14975000000.0,19953000000.0
netIncomeApplicableToCommonShares,19874000000.0,-5369000000.0,13900000000.0,19370000000.0
investments,1323000000.0,1323000000.0,1323000000.0,-1233000000.0
changeToLiabilities,1636000000.0,-1410000000.0,-1524000000.0,1602000000.0
totalCashflowsFromInvestingActivities,-32089000000.0,-13548000000.0,-16690000000.0,-63145000000.0
netBorrowings,19196000000.0,-10986000000.0,-16771000000.0,-9349000000.0
totalCashFromFinancingActivities,1578000000.0,-32007000000.0,-25083000000.0,-25989000000.0
changeToOperatingActivities,-16685000000.0,-14123000000.0,-13214000000.0,-10390000000.0
issuanceOfStock,96000000.0,105000000.0,631000000.0,745000000.0
changeInCash,11446000000.0,-2425000000.0,6895000000.0,-45532000000.0
repurchaseOfStock,-202000000.0,-5498000000.0,-2417000000.0,-609000000.0
totalCashFromOperatingActivities,41957000000.0,43130000000.0,48668000000.0,43602000000.0
depreciation,19841000000.0,25033000000.0,24904000000.0,25338000000.0
otherCashflowsFromInvestingActivities,-172000000.0,337000000.0,70000000.0,500000000.0
dividendsPaid,-15068000000.0,-14956000000.0,-14888000000.0,-13410000000.0
changeToAccountReceivables,-634000000.0,2216000000.0,2812000000.0,-1580000000.0
otherCashflowsFromFinancingActivities,-2444000000.0,-4541000000.0,7198000000.0,-3366000000.0
changeToNetincome,3691000000.0,24504000000.0,8887000000.0,2398000000.0
capitalExpenditures,-16527000000.0,-15675000000.0,-19635000000.0,-21251000000.0
annualDilutedAverageShares,7199000000.0,7183000000.0,7348000000.0,6806000000.0
