,2021,2020,2019,2018
capitalSurplus,8087500000.0,6716200000.0,4428600000.0,3911600000.0
totalLiab,6666000000.0,6138000000.0,3715500000.0,2977200000.0
totalStockholderEquity,18768800000.0,11025300000.0,11089700000.0,8757300000.0
otherCurrentLiab,1055700000.0,613300000.0,516500000.0,473300000.0
totalAssets,25434800000.0,17163300000.0,14805200000.0,11734500000.0
commonStock,100000.0,100000.0,100000.0,100000.0
retainedEarnings,18968300000.0,10893000000.0,7379800000.0,5254300000.0
otherLiab,753500000.0,744900000.0,905000000.0,825900000.0
treasuryStock,-8287100000.0,-6584000000.0,-718800000.0,-408700000.0
otherAssets,1059700000.0,967800000.0,913300000.0,910600000.0
cash,2885600000.0,2193700000.0,1617800000.0,1467700000.0
totalCurrentLiabilities,3932500000.0,2697400000.0,2096600000.0,1442800000.0
deferredLongTermAssetCharges,876900000.0,858900000.0,824200000.0,828700000.0
otherStockholderEquity,-26200000.0,29300000.0,21100000.0,-12300000.0
propertyPlantEquipment,3482200000.0,3221600000.0,2890400000.0,2575800000.0
totalCurrentAssets,14014900000.0,9779100000.0,7689100000.0,6447600000.0
longTermInvestments,6878000000.0,3194800000.0,3312400000.0,1800500000.0
netTangibleAssets,18768800000.0,11025300000.0,11089700000.0,8757300000.0
shortTermInvestments,2809100000.0,1393300000.0,1596500000.0,1342200000.0
netReceivables,6036500000.0,4114700000.0,2785600000.0,2272000000.0
longTermDebt,1980000000.0,1978500000.0,,
inventory,1951300000.0,1916600000.0,1415500000.0,1151200000.0
accountsPayable,564000000.0,475500000.0,418100000.0,218200000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9325800000,3810400000,2429100000,2553500000
minorityInterest,,,,
netIncome,8075300000,3513200000,2115800000,2444400000
sellingGeneralAdministrative,1824900000,1346000000,1341900000,1127200000
grossProfit,10726100000,4642200000,3342500000,3259300000
ebit,8946800000,3576600000,2209800000,2534400000
operatingIncome,8946800000,3576600000,2209800000,2534400000
otherOperatingExpenses,-45600000,-280400000,-209200000,-402300000
interestExpense,-57300000,-56900000,-30200000,-28200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1250500000,297200000,313300000,109100000
totalRevenue,16071700000,8497100000,6557600000,5145600000
totalOperatingExpenses,7124900000,4920500000,4347800000,2611200000
costOfRevenue,5345600000,3854900000,3215100000,1886300000
totalOtherIncomeExpenseNet,379000000,233800000,219300000,19100000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8075300000,3513200000,2115800000,2444400000
netIncomeApplicableToCommonShares,8075300000,3513200000,2115800000,2444400000
investments,-4832800000.0,544000000.0,-1598200000.0,-1069900000.0
changeToLiabilities,745900000.0,267000000.0,738500000.0,15400000.0
totalCashflowsFromInvestingActivities,-5384700000.0,-70600000.0,-2027800000.0,-1463000000.0
totalCashFromFinancingActivities,-1005800000.0,-1970500000.0,-252100000.0,-77100000.0
changeToOperatingActivities,-240700000.0,114900000.0,-79800000.0,-88100000.0
issuanceOfStock,1672300000.0,2575200000.0,211800000.0,114500000.0
changeInCash,690800000.0,577000000.0,150100000.0,655000000.0
repurchaseOfStock,-2678100000.0,-6527600000.0,-463900000.0,-191600000.0
totalCashFromOperatingActivities,7081300000.0,2618100000.0,2430000000.0,2195100000.0
depreciation,286200000.0,235900000.0,210300000.0,148200000.0
changeToInventory,-494300000.0,-529400000.0,-335500000.0,-387900000.0
changeToAccountReceivables,-1927400000.0,-1356100000.0,-523700000.0,-236400000.0
changeToNetincome,636300000.0,372600000.0,304400000.0,299500000.0
capitalExpenditures,-551900000.0,-614600000.0,-429600000.0,-383100000.0
netBorrowings,,1981900000.0,1981900000.0,1981900000.0
otherCashflowsFromInvestingActivities,,,,-10000000.0
